ref_id,title,url,additional_urls,source_type,access_note,local_filename,checked_date
E27,SPARC Toroidal Field Model Coil Program,https://arxiv.org/abs/2308.12301,,paper/report,open full text archived locally; verify publisher terms before redistribution,E27-SPARC-TFMC.pdf,2026-08-09
E28,JT-60SA global structural/electromagnetic FE model,https://doi.org/10.1016/j.fusengdes.2011.02.059,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E29,HEAT official documentation,https://heat-flux-engineering-analysis-toolkit-heat.readthedocs.io/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E30,"ORNL, HEAT development and DIII-D infrared validation",https://www.ornl.gov/publication/development-and-validation-non-axisymmetric-heat-flux-simulations-3d-fields-using-heat,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E31,"PPPL, Integrated physics-engineering workflows for SPARC",https://www.pppl.gov/events/2023/pppl-colloquium-integrated-physics-engineering-simulation-workflows-sparc-tokamak,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E32,MEMENTO code for macroscopic melt motion,https://arxiv.org/abs/2404.12904,,paper/report,open full text archived locally; verify publisher terms before redistribution,E32-MEMENTO.pdf,2026-08-09
E33,ITER tungsten monoblock thermo-mechanics under HHF,https://nucleus.iaea.org/sites/fusionportal/Technical%20Meeting%20Proceedings/3rd%20Joint%20IAEA-ITER%20TM/Website/abstracts/O1_Panayotis_S.pdf,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E34,CFETR HCCB manifold optimization with CFX,https://doi.org/10.1080/00223131.2018.1461693,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E35,EAST PFC baking thermal modelling and calorimetry verification,https://researchers.mq.edu.au/en/publications/an-analysis-method-and-primary-calorimetry-verification-of-tokama/,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E36,OpenFOAM official documentation,https://www.openfoam.com/documentation/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E37,Code_Saturne official EDF page,https://www.edf.fr/en/the-edf-group/inventing-the-future-of-energy/r-d-global-expertise/our-offers/codesaturne,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E38,Cardinal official documentation,https://cardinal.cels.anl.gov/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E39,Development of ITER Structural Design Criteria for In-vessel Components,https://doi.org/10.1016/j.fusengdes.2013.01.019,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E40,"ITER Organization, “Trial by fire” - divertor HHF qualification",https://www.iter.org/node/20687/trial-fire,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E41,Comparison of FEM and HHF testing for ITER-like PFCs,https://iris.enea.it/handle/20.500.12079/5871,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E42,Testing of HHF components manufactured for ITER divertor,https://doi.org/10.1016/j.fusengdes.2008.10.012,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E43,Advanced neutronics simulation tools for DEMO/ITER,https://nucleus.iaea.org/sites/fusionportal/Shared%20Documents/FEC%202016/fec2016-preprints/preprint0517.pdf,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E44,ITER integrated neutronics models and code comparison,https://www.iter.org/sites/default/files/media/2025-07/l-15_khodak.pdf,,paper/report,open full text archived locally; verify publisher terms before redistribution,E44-ITER-integrated-neutronics.pdf,2026-08-09
E45,OpenMC official documentation,https://docs.openmc.org/en/latest/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E46,OpenMC CAD/DAGMC geometry guide,https://docs.openmc.org/en/latest/usersguide/geometry.html,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E47,Cardinal DAGMC Tokamak tutorial,https://cardinal.cels.anl.gov/tutorials/tokamak.html,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E48,OpenMC model of SPARC for diagnostic scoping,https://doi.org/10.1016/j.fusengdes.2025.115676,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E49,cosRMC unstructured mesh tally and ITER shutdown dose benchmark,https://doi.org/10.1016/j.fusengdes.2022.113211,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E50,PyNE sub-voxel R2S and CFETR application,https://doi.org/10.1088/2058-6272/ac6be3,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E51,"IAEA, FENDL library",https://www-nds.iaea.org/fendl/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E52,IAEA FENDL benchmark library,https://www-nds.iaea.org/fendl20/fen-bench.htm,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E53,UKAEA FISPACT-II official service and capabilities,https://www.ukaea.org/service/fispact/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E54,OpenMC fully open-source R2S validation with FNG,https://doi.org/10.1088/1741-4326/ad32dd,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E55,JET DTE2 shutdown dose experiment,https://doi.org/10.1140/epjp/s13360-024-05208-w,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E56,"UKAEA, MCR2S benchmarking with MCNP, Serpent 2 and OpenMC",https://scientific-publications.ukaea.uk/papers/shutdown-dose-rate-benchmarking-using-modern-particle-transport-codes/,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E57,"ITER neutronics lessons from JET D-T operation, IAEA FEC 2025",https://conferences.iaea.org/event/392/contributions/35802/attachments/19803/36325/Villari_TEC_2937_FEC2025.pdf,,official documentation/webpage,open full text archived locally; verify publisher terms before redistribution,E57-JET-neutronics-FEC2025.pdf,2026-08-09
E58,GETTHEM WCLL system thermal-hydraulic analysis,https://doi.org/10.1016/j.fusengdes.2018.05.203,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E59,RELAP5 system analysis for WCLL blanket,https://conferences.iaea.org/event/406/contributions/37051/,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E60,CFETR integrated design platform neutronics-thermal-hydraulics coupling,https://html.rhhz.net/hejishu/html/2018/1/2018010601.htm,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E61,Liquid-metal fusion blanket modelling review,https://www.osti.gov/biblio/1906620,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E62,FreeMHD V&V,https://arxiv.org/abs/2409.08950,,paper/report,open full text archived locally; verify publisher terms before redistribution,E62-FreeMHD.pdf,2026-08-09
E63,Fusion liquid-metal blanket MHD pressure-drop review,https://doi.org/10.3390/fluids6030110,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E64,FESTIM official documentation,https://festim.readthedocs.io/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E65,FESTIM V&V report,https://festim-vv-report.readthedocs.io/,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E66,TMAP8 official documentation,https://mooseframework.inl.gov/TMAP8/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E67,TMAP8 open-source tritium transport and V&V paper,https://doi.org/10.1016/j.fusengdes.2025.114874,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E68,European tritium transport tools review,https://doi.org/10.1016/j.fusengdes.2024.114665,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E69,mHIT fusion-relevant V&V,https://doi.org/10.1088/1741-4326/adab85,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E70,SALAMANDER official documentation,https://salamander.inl.gov/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E71,MOOSE tracked applications and fusion stack,https://mooseframework.inl.gov/application_usage/tracked_apps.html,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E72,Cardinal OpenMC-MOOSE coupling tutorials,https://cardinal.cels.anl.gov/tutorials/openmc_solid.html,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E73,CERN Molflow+ official documentation,https://molflow.docs.cern.ch/about/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E74,AVOCADO gas-density simulation for ITER NBI/SPIDER,https://doi.org/10.1016/j.vacuum.2015.07.009,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E75,Sandia MELCOR official site,https://www.sandia.gov/MELCOR/,,official documentation/webpage,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E76,International benchmarking of MELCOR and ATHENA-INTRA for fusion safety,https://doi.org/10.1016/S0920-3796(02)00249-1,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E77,Current status of MELCOR 2.2 for fusion safety,https://doi.org/10.1016/j.fusengdes.2023.113869,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E78,INL Fusion Safety Codes,https://inl.gov/fusion-safety/fusion-safety-codes/,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E79,"Dassault Systèmes, ITER PLM/DELMIA case",https://www.3ds.com/insights/customer-stories/iter,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E80,"Fusion for Energy, VR for ITER remote maintenance",https://fusionforenergy.europa.eu/news/virtual-reality-guides-engineers-to-perform-iter-maintenance-works/,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E81,"VTT, simulation-based design verification of ITER remote handling",https://cris.vtt.fi/en/publications/simulation-based-design-process-for-the-verification-of-iter-remo/,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E82,"EUROfusion, JET remote maintenance system",https://scipub.euro-fusion.org/archives/jet-archive/design-and-operation-of-the-remote-maintenance-system-in-jet,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E83,JET VR system for EP2 remote handling,https://doi.org/10.1016/j.fusengdes.2011.03.063,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E84,DTT hyper-redundant remote manipulator virtual simulation,https://doi.org/10.1016/j.fusengdes.2023.113552,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E85,"ITER Trial, Test and Training Facility",https://www.iter.org/actualites-iter/practice-makes-precision,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
E86,"IAEA TECDOC-1851, structural design criteria for fusion reactors",https://www-pub.iaea.org/MTCD/Publications/PDF/TE1851web.pdf,,official documentation/webpage,open full text archived locally; verify publisher terms before redistribution,E86-IAEA-TECDOC-1851.pdf,2026-08-09
E87,4C validation with EAST TF magnet cooldown,https://indico.cern.ch/event/1592716/contributions/6845194/,,paper/report,metadata/link catalog; see local_filename when an open full text was archived,,2026-08-09
