category,tool_or_platform,license_and_stack,license_class,scope_and_validation,limitations_and_twin_gap,evidence_cutoff,url
A.2 破裂、电磁、结构与磁体,DINA / MEQ,机构/合作获取；Fortran/C/C++ 为主,研究/合作/混合,轴对称等离子体—线圈—被动结构动态、控制场景；装置回放,三维导体、端口、局部 halo 和结构寿命不足,2026-08-09,https://conferences.iaea.org/event/450/contributions/40867/
A.2 破裂、电磁、结构与磁体,TokaMaker,开源 OFT；Fortran/C++/Python,开源/开放,时变自由边界平衡和电路；解析/跨代码/装置算例,新兴；正式资格、复杂 CAD 和工业支持需建设,2026-08-09,https://openfusiontoolkit.github.io/OpenFUSIONToolkit/tokamaker.html
A.2 破裂、电磁、结构与磁体,ThinCurr,开源 OFT；高阶 FEM/Python,开源/开放,三维薄壁涡流、RWM、被动导体；SPARC/DIII-D 与基准,薄壁假设；厚度电流、连接和局部细节有限,2026-08-09,https://openfusiontoolkit.github.io/OpenFUSIONToolkit/thincurr.html
A.2 破裂、电磁、结构与磁体,CARIDDI,受限/合作；积分方程、边元,研究/合作/混合,三维体导体、传感器、电压、MHD 耦合；ITER/JOREK/MARS-F,获取和前后处理门槛；版本/接口依赖专家,2026-08-09,https://doi.org/10.1016/j.fusengdes.2023.113500
A.2 破裂、电磁、结构与磁体,STARWALL,研究代码；薄壁表面电流,研究/合作/混合,JOREK/VMEC/CAS3D 壁耦合、VDE/RWM；跨代码基准,体导体、接触、局部力和工业结构接口有限,2026-08-09,https://arxiv.org/abs/1408.6379
A.2 破裂、电磁、结构与磁体,VALEN,研究/受限；Fortran、薄壳 FEM/电路,研究/合作/混合,RWM、控制线圈/传感器和三维壁；DIII-D/MAST-U/FIRE,现代接口、开放维护和一般工程集成有限,2026-08-09,https://www-pub.iaea.org/MTCD/Publications/PDF/csp_019c/pdf/thp3_13.pdf
A.2 破裂、电磁、结构与磁体,Keddy3D / PECAN,研究代码；薄壁/两阶段工作流,研究/合作/混合,非轴对称涡流和紧凑 Tokamak disruption 载荷,公开质量体系与跨装置证据有限,2026-08-09,https://www.jspf.or.jp/PFR/PFR_articles/pfr2022/pfr2022_17-1403104.html
A.2 破裂、电磁、结构与磁体,Ansys Maxwell/APDL/Mechanical,闭源商业；FEM、APDL/Python,商业/闭源,线圈、涡流、磁—结构、接触、动力学；ITER/JT-60SA 等,许可、高成本、大模型；Tokamak 场景和 halo 需自建,2026-08-09,https://www.ansys.com/products/electronics/ansys-maxwell
A.2 破裂、电磁、结构与磁体,COMSOL,闭源商业；统一 FEM、自定义 PDE,商业/闭源,局部磁—热—结构—流体、反演；EAST/磁体/PFC,大装配和核级证据较弱；求解器/版本黑箱部分存在,2026-08-09,https://www.comsol.com/multiphysics
A.2 破裂、电磁、结构与磁体,Opera/TOSCA / Simcenter MAGNET,闭源商业；低频电磁,商业/闭源,磁体、线圈、铁磁和涡流；工业磁测量验证,Tokamak 专用等离子体/halo 接口不足,2026-08-09,https://plm.sw.siemens.com/en-US/simcenter/electromagnetics-simulation/magnet/
A.2 破裂、电磁、结构与磁体,Abaqus/Simcenter 3D/Code_Aster,商业/开源混合；FEM,开源/开放,非线性结构、接触、疲劳、断裂、热机械；试验关联,载荷正确性和辐照本构不由求解器保证,2026-08-09,https://www.code-aster.org/
A.2 破裂、电磁、结构与磁体,4C,研究/合作；多尺度热工水力/Modelica/FE,研究/合作/混合,CICC、线圈结构和低温回路；HELIOS/ITER/EAST 验证,专家和配置门槛；实时部署需 ROM 与状态估计,2026-08-09,https://conferences.iaea.org/event/392/papers/36422/files/13780-FEC2025_Paper_4C_v3_final.pdf
A.2 破裂、电磁、结构与磁体,THEA/Gandalf/Mithrandir,CryoSoft 商业/受限；1D 热—水力—电,商业/闭源,CICC 稳定性与失超；QUELL/SULTAN/导体试验,老旧接口、许可和整机耦合；参数高度依赖试验,2026-08-09,https://supermagnet.sourceforge.io/thea.html
A.2 破裂、电磁、结构与磁体,JackPot-ACDC,研究/合作；绞线网络,研究/合作/混合,CICC 股线电流、耦合损耗；与 THEA 联合,计算与输入成本高，不适合整机在线,2026-08-09,https://ris.utwente.nl/ws/portalfiles/portal/59262637/Jackpot_THEA_CS_stability_ver8.2.pdf
A.2 破裂、电磁、结构与磁体,ROXIE/QuenchPro/STEAM/FiQuS,开放性各异；磁场/电路/热,研究/合作/混合,磁体场和失超交叉验证；加速器磁体经验,需对 Tokamak CICC/HTS 和循环场景重新验证,2026-08-09,https://cern.ch/roxie/
A.3 热流体、PFC、包层和氚,HEAT,开源；Python + CAD/FVM/FEM/MHD 接口,开源/开放,PFC 三维热流和温度；SPARC 设计、DIII-D IR 验证,依赖外部边界物理与材料寿命；在线需加速/校准,2026-08-09,https://heat-flux-engineering-analysis-toolkit-heat.readthedocs.io/
A.3 热流体、PFC、包层和氚,MEMENTO,开源研究；C++/AMReX,开源/开放,钨等金属熔化与熔层运动；EUROfusion/JET 验证,适用异常熔融，不代替常规疲劳/结构评定,2026-08-09,https://arxiv.org/abs/2404.12904
A.3 热流体、PFC、包层和氚,Ansys CFX/Fluent,闭源商业；FVM、UDF,商业/闭源,冷却、共轭热、多相、包层和 PFC；大量 mock-up/回路应用,特殊 CHF、MHD、氦/PbLi 相关式需专门验证,2026-08-09,https://www.ansys.com/products/fluids/ansys-fluent
A.3 热流体、PFC、包层和氚,STAR-CCM+,闭源商业；FVM/自动网格/Java API,商业/闭源,复杂 CFD、多相、CHT、设计探索、GPU,核热/氚/聚变材料接口和核资格需项目建设,2026-08-09,https://plm.sw.siemens.com/en-US/simcenter/fluids-thermal-simulation/star-ccm/
A.3 热流体、PFC、包层和氚,OpenFOAM,GPL；C++/FVM,开源/开放,自定义 CFD、CHT、MHD、HPC；解析/实验基准,分支碎片化、模型质量责任和工业前处理成本高,2026-08-09,https://www.openfoam.com/documentation/
A.3 热流体、PFC、包层和氚,Code_Saturne/SYRTHES,GPL；C/Fortran、SALOME,开源/开放,核/工业 CFD、热耦合；EDF 验证体系,聚变专用模型和国际用户生态小于 OpenFOAM/商业工具,2026-08-09,https://www.edf.fr/en/the-edf-group/inventing-the-future-of-energy/r-d-global-expertise/our-offers/codesaturne
A.3 热流体、PFC、包层和氚,NekRS,开源；谱元、GPU/MPI,开源/开放,高保真湍流、Cardinal 内存耦合,工程几何/边界和系统级速度不足，需闭合/降阶,2026-08-09,https://nekrsdoc.readthedocs.io/
A.3 热流体、PFC、包层和氚,GETTHEM,研究代码；1D 系统热工,研究/合作/混合,EU DEMO 包层/PHTS 快速瞬态与参数扫描,三维热点、MHD 和材料细节需 CFD/FE 补充,2026-08-09,https://doi.org/10.1016/j.fusengdes.2018.05.203
A.3 热流体、PFC、包层和氚,RELAP5/TRACE/CATHARE/ATHENA,许可/机构；1D 两相系统代码,研究/合作/混合,冷却回路和事故边界；核工业基准与 WCLL 研究,原始关联式不一定覆盖氦、PbLi、FLiBe/聚变几何,2026-08-09,https://inl.gov/nuclear-safety-and-regulatory-research/relap5-3d/
A.3 热流体、PFC、包层和氚,HIMAG/MHD-UCAS,研究/受限；液态金属 MHD,研究/合作/混合,DCLL/PbLi 高 Hartmann 流；回路/跨代码验证,获取、文档和全包层耦合有限,2026-08-09,https://www.osti.gov/biblio/1906620
A.3 热流体、PFC、包层和氚,FreeMHD,开源；OpenFOAM/C++,开源/开放,多域、多相、自由表面导电流；公开 V&V,新兴；极高 Ha、腐蚀和工程 CAD 仍需验证,2026-08-09,https://arxiv.org/abs/2409.08950
A.3 热流体、PFC、包层和氚,FESTIM,Apache-2.0；Python/FEniCSx,研究/合作/混合,1D-3D 氢/氚扩散、陷阱、热耦合；TDS/渗透/包层,材料/表面参数不确定；系统管网和在线库存需外部模型,2026-08-09,https://festim.readthedocs.io/
A.3 热流体、PFC、包层和氚,TMAP8,开源；MOOSE/C++,开源/开放,系统质量/热/氚迁移、UQ/SQA；TMAP V&V 与实验,正在成长；复杂表面和完整燃料循环验证不完备,2026-08-09,https://mooseframework.inl.gov/TMAP8/
A.3 热流体、PFC、包层和氚,TESSIM-X/MHIMS/mHIT,研究/受限；扩散—陷阱,研究/合作/混合,欧洲包层/PFC 氚、跨代码和实验比较,开放性、维护和多物理接口不一致,2026-08-09,https://doi.org/10.1016/j.fusengdes.2024.114665
A.3 热流体、PFC、包层和氚,Cardinal/SALAMANDER,开源；MOOSE + OpenMC + NekRS + TMAP8,开源/开放,核热—CFD—固体—氚高保真耦合；HCLL/教程,目前更多是研发/演示，完整工程资格和材料库不足,2026-08-09,https://salamander.inl.gov/
A.4 中子、安全、真空、维护与生命周期,MCNP6,受控许可；Fortran/C++,研究/合作/混合,融合固定源、屏蔽、核热、诊断；ITER/JET/FNG 深证据,出口/许可、CSG 维护、自动化与开放性受限,2026-08-09,https://mcnp.lanl.gov/
A.4 中子、安全、真空、维护与生命周期,TRIPOLI-4,CEA 许可；连续能量 MC,研究/合作/混合,ITER/DEMO 独立参考、D1S/R2S；与 MCNP/实验比较,获取和生态受限,2026-08-09,https://www.cea.fr/english/Pages/resources/tripoli-4.aspx
A.4 中子、安全、真空、维护与生命周期,OpenMC,MIT 开源；C++/Python/HDF5,开源/开放,参数化中子/光子、CAD/DAGMC、R2S；FNG/SPARC,深穿透/部分融合功能和正式认可仍在积累,2026-08-09,https://docs.openmc.org/en/latest/
A.4 中子、安全、真空、维护与生命周期,Serpent 2,学术免费/商业许可；C,商业/闭源,快速连续能量、耦合和停机剂量交叉验证,许可边界；聚变工程积累少于 MCNP,2026-08-09,https://serpent.vtt.fi/
A.4 中子、安全、真空、维护与生命周期,PHITS/FLUKA/Geant4,许可/开源混合；粒子输运,开源/开放,高能次级粒子、探测器、辐射防护,TBR/核热/活化需 FENDL 和专项基准,2026-08-09,https://phits.jaea.go.jp/
A.4 中子、安全、真空、维护与生命周期,SuperMC/cosRMC,机构/部分发布；CAD/蒙卡,研究/合作/混合,中国聚变工程、CFETR、R2S 与 ITER 基准,国际开放性、版本和独立复核有限,2026-08-09,http://www.fds.org.cn/en/
A.4 中子、安全、真空、维护与生命周期,DAGMC/McCad,开源/机构；MOAB/CAD 转换,开源/开放,工程 CAD 到蒙卡、复杂端口和自动派生,几何 watertight、公差、材料和性能需严检,2026-08-09,https://svalinn.github.io/DAGMC/
A.4 中子、安全、真空、维护与生命周期,FISPACT-II/ALARA,许可/开源混合；库存/活化,开源/开放,活化、衰变热、dpa、气体、废物、R2S,结果依赖谱、核数据和辐照历史；不做空间输运,2026-08-09,https://fispact.ukaea.uk/
A.4 中子、安全、真空、维护与生命周期,MELCOR Fusion,受控许可；系统事故/气溶胶,研究/合作/混合,ITER/DEMO/DTT 事故、安全和释放,融合模型/版本迁移、保守性和实验数据有限,2026-08-09,https://www.sandia.gov/MELCOR/
A.4 中子、安全、真空、维护与生命周期,Molflow+ / AVOCADO,GPL/研究；试验粒子蒙卡,开源/开放,超高真空压力、泵速、NBI 气体；电导/压力试验,自由分子假设；表面历史、等离子体化学与事故需补充,2026-08-09,https://molflow.docs.cern.ch/about/
A.4 中子、安全、真空、维护与生命周期,EcosimPro/Modelica/AMESim,商业/开放混合；DAE/网络,商业/闭源,低温、热力、真空、燃料和控制系统瞬态,组件参数/关联式与融合验证决定可信度,2026-08-09,https://www.ecosimpro.com/
A.4 中子、安全、真空、维护与生命周期,Simulink/Simscape/PSCAD/PLECS,商业；控制/电力电子/HIL,商业/闭源,线圈电源、保护、厂用电与硬件在环,不是结构/核物理；模型版本和代码生成需严格治理,2026-08-09,https://www.mathworks.com/products/simulink.html
A.4 中子、安全、真空、维护与生命周期,DELMIA/Tecnomatix/Process Simulate,闭源商业；机器人/工艺/PLM,商业/闭源,ITER 装配、远程维护、4D 工艺；全尺寸/机器人验证,运动/碰撞不等于真实柔性、接触和辐射环境,2026-08-09,https://www.3ds.com/products/delmia
A.4 中子、安全、真空、维护与生命周期,ROS 2/MoveIt/Gazebo/CoppeliaSim,开源/混合；C++/Python,开源/开放,研究型遥操作、规划、数字样机和 HIL,核级可用性、确定性、供应商支持和长期资格不足,2026-08-09,https://moveit.picknik.ai/
A.4 中子、安全、真空、维护与生命周期,BlockSim/Isograph/MAROS/SimPy,商业/开源混合；RAMI/离散事件,开源/开放,可靠性框图、故障树、维护物流和可用率,融合失效数据稀缺；结论可能被专家先验主导,2026-08-09,https://simpy.readthedocs.io/
