id,titleZh,titleEn,year,primaryTask,relatedTasks,devices,evidenceLevel,deploymentLevel,problem,method,timescale,validation,results,limitations,twinRelevance,paperTitles,paperUrls,codeNames,codeUrls,codeStatus
CTL-CORE-021,KSTAR 有限电流元实时边界重建,Finite-current-element real-time boundary reconstruction for KSTAR,2007,T0,T2,KSTAR：设计阶段及早期形状识别；理想/含噪合成测量仿真,E1,D2,KSTAR 形状控制需在有限磁测量、涡流和测量噪声下快速识别边界，并指导诊断布置。,改进有限电流元 FCE 表示等离子体电流分布，通过磁测量反演边界；扫描噪声与测量组合评估可观测性。,目标为实时毫秒级；论文重点是算法/诊断设计仿真。,仿真设计研究，不应标为 KSTAR 运行中的权威重建器。,理想条件下报告约 7 mm 边界精度，并指出 PF 电流测量误差对形状识别影响显著，为磁诊断配置提出指南。,7 mm 为理想/合成场景结果；真实涡流、铁磁效应、传感器漂移和非轴对称误差会降低精度。,状态服务验收应区分合成可辨识度和真实数据误差，并将诊断/线圈电流标定作为模型输入而非常数。,Real-time plasma boundary reconstruction in the KSTAR tokamak using finite element method,https://doi.org/10.1016/j.fusengdes.2006.09.003,KSTAR FCE boundary code,,not-public
CTL-CORE-020,JET/托卡马克 EQUINOX 实时平衡与剖面重建,Equinox real-time equilibrium and profile reconstruction,2004,T0,T3,JET：实时平衡/剖面；装置实时应用 | Tore Supra：实时平衡；装置应用 | ITER：预测研究；几何/合成数据测试,E3,D4,需用统一物理模型在不同托卡马克上实时识别边界和电流源项，并可逐步加入内部诊断。,固定点求解非线性 Grad–Shafranov 方程，以最小二乘拟合磁场测量和边界通量；解析/数值结构便于在 JET、Tore Supra 和 ITER 几何间迁移。,面向实时控制的毫秒至数十毫秒实现。,JET/Tore Supra 实时应用；ITER 仅预测。,展示同一求解框架跨机器应用，并成为 JET 高级实时 q/剖面控制状态链的一部分。,早期论文对实时延迟、异常诊断和跨机 UQ 报告有限；统一方程不代表统一诊断几何或误差模型。,跨装置孪生应复用接口、坐标和验证协议，而不是假设同一重建参数可直接搬运。,New applications of Equinox code for real-time plasma equilibrium and profile reconstruction for tokamaks,https://arxiv.org/abs/physics/0411181,EQUINOX,,not-public
CTL-CORE-018,DIII-D rtEFIT 实时平衡重建服务,Real-time EFIT equilibrium reconstruction for DIII-D PCS,2003,T0,T9,DIII-D：边界和动力学平衡；长期实时运行 | EAST/KSTAR/NSTX/MAST：派生 RT-EFIT 部署；各设施实现,E4,D4,控制器需要毫秒级 LCFS、X 点、q 和内部形状量，而离线 EFIT 计算过慢。,对 EFIT 的 Grad–Shafranov 迭代、网格和约束进行实时化，利用磁测量并可引入 MSE 等内部诊断；结果写入 PCS 供 ISOFLUX、NTM 和剖面控制共享。,典型 1–几 ms，具体取决于网格和诊断集。,生产级实时服务并由多类闭环间接验证。,形成跨装置影响最大的实时平衡范式；DIII-D 中直接支撑 ISOFLUX、实时 MSE 平衡、NTM 镜面定位和剖面控制。,不同 rtEFIT 分支并非同一版本；核心剖面受诊断覆盖限制，异常测量可污染多个下游控制器，存在共因故障。,数字孪生必须对 rtEFIT 做版本和血缘治理，并用独立重建/合成诊断定期挑战，避免共享状态服务成为单点真理故障。,Advanced tokamak operation using the DIII-D plasma control system,https://doi.org/10.1016/S0920-3796(03)00322-3,rtEFIT | TokSys, | ,not-public | not-public
PCS-032,GSPulse可微Grad–Shafranov脉冲设计与反馈仿真,,2025,T1,T2,SPARC | NSTX-U | MAST-U,E2,D2,传统自由边界平衡/电路仿真难以在自动微分与优化中高效求梯度，限制端到端脉冲设计和控制器联合优化。,JAX实现的可微自由边界GS求解器与线圈/被动结构模型；支持轨迹优化、反馈仿真及与实验装置几何对照。,离线设计与仿真为主；公开论文不把它声明为生产PCS的硬实时内核。,作者报告NSTX-U、MAST-U平衡/轨迹对照并用于SPARC场景设计；SPARC部分仍是设计验证。,公开研究代码；SPARC设计工具链。,平衡模型不是完整运输/MHD/执行器/诊断数字孪生；硬实时、软件安全、确定性内存和真机I/O尚非公开目标。,可作为模型、状态、控制策略或验证证据接入控制数字孪生，但需版本、配置与适用域治理。,GSPulse: A differentiable free-boundary Grad-Shafranov solver for tokamak pulse design and control,https://arxiv.org/abs/2506.21760,GSPulse_public,https://github.com/jwai-cfs/GSPulse_public,official-direct
PCS-037,DINA/ DINA-IMAS非线性自由边界放电与控制设计,,2025,T1,T2 | T7,ITER | JT-60SA | EAST | HL-2M | 多装置,E2,D2,评估线圈、电源、被动结构和轴对称等离子体强耦合动态，用于脉冲场景、垂直稳定、形状控制和破裂响应设计。,非线性自由边界MHD/电路模型与控制器、执行器和事件耦合；DINA-CH等分支用于闭环仿真，DINA-IMAS以IMAS接口公开。,主要用于离线或加速控制设计；模型细节和数值设置决定是否能实时，不能统一声称硬实时。,长期通过多装置场景与控制研究、ITER/JT-60SA设计比较；公开DINA-IMAS使接口和部分实现可审计，但装置专用参数仍需验证。,控制设计与场景验证，不等同于生产PCS。,轴对称模型不覆盖全部3D MHD、湍流、材料和诊断退化；参数辨识与跨装置配置是主要成本。,可作为模型、状态、控制策略或验证证据接入控制数字孪生，但需版本、配置与适用域治理。,DINA-CH: A tokamak plasma control simulation code,https://doi.org/10.1016/j.fusengdes.2005.06.284,DINA-IMAS,https://github.com/iterorganization/DINA-IMAS,official-direct
CTL-CORE-003,EAST 1056 秒全非感应运行的零环电压与磁控制,Real-time plasma control of fully non-inductive operation in the EAST 1056 s discharge,2023,T1,,EAST：全非感应长脉冲；1056 s 装置闭环放电,E4,D4,长脉冲中磁积分器漂移、壁状态演化和电流扩散会破坏位置、形状和非感应电流平衡。,实时平衡/形状控制与等离子体电流控制并行，以 LHW 功率闭环调节环电压到零；采用无积分漂移的光纤电流传感器提高长脉冲电流测量可靠性。,磁位置/形状毫秒级；LHW—环电压与电流扩散为百毫秒至秒级；总体运行 1056 s。,真实超导托卡马克长脉冲闭环。,报告了 1056 s 全非感应放电、超过 1.7 GJ 注入—提取能量，位置/形状维持在毫米量级，并以 LHW 实现零环电压调节。,会议资料未给出完整误差预算、控制器参数与故障统计；单次纪录放电不能替代跨壁状态和跨年度的可用率验证。,是长脉冲孪生的关键范例：状态估计必须解决漂移，电流/形状/加热要跨时间尺度协同，并把壁状态作为慢变量。,Real-time plasma control of fully non-inductive operation in EAST 1056 s long pulse discharge | Realization of Te0 > 10 keV long pulse operation over 100 s on EAST,https://conferences.iaea.org/event/258/contributions/24800/ | https://doi.org/10.1088/2058-6272/ac9cc6,EAST PCS / P-EFIT | Py-EFIT, | ,not-public | not-public
CTL-CORE-002,JT-60SA 击穿与电流爬升运行场景,Operation scenarios for plasma breakdown and current ramp-up in JT-60SA,2015,T1,,JT-60SA：半预磁化与全预磁化启动方案；TOSCA 电磁仿真,E1,D2,超导装置预磁化、真空室/稳定板涡流和杂散场会限制击穿窗口，需形成可重复且不过载的启动轨迹。,以 TOSCA 三维电磁场计算评估半/全预磁化方案，优化 PF/EF 线圈波形并验证击穿区杂散场、环电压与初始垂直场条件。,击穿前后为毫秒至百毫秒；电流爬升为秒级。,工程/等离子体启动设计仿真；论文不等同于装置闭环实验。,计算表明击穿期导体涡流可与约 600 kA 等离子体电流同量级，优化后的两类场景仍能满足启动条件，并给出外侧 EF 线圈补偿涡流垂直场的策略。,主要验证电磁可行性，未完整耦合烧穿、壁条件不确定性与实时状态估计；首等离子体后的装置实测还需反标模型。,说明启动孪生不能只有 0D 电流模型，必须纳入三维涡流、磁体电源和击穿可行域，并在每次放电后更新杂散场模型。,Development of operation scenarios for plasma breakdown and current ramp-up phases in JT-60SA tokamak,https://doi.org/10.1016/j.fusengdes.2015.06.138,TOSCA,https://www.3ds.com/products/simulia/opera,commercial-enabling
CTL-CORE-001,ITER 电流爬升阶段的 DINA 分层磁控制,Design and modeling of ITER plasma magnetic control during current ramp-up,2010,T1,,ITER：15 MA 基线场景设计；非线性 DINA 闭环仿真,E1,D2,在强真空室涡流、PF/CS 电压与电流约束以及垂直不稳定并存时，使等离子体电流、形状和位置从击穿后阶段连续过渡到平顶。,内层磁体电流解耦，外层以伪逆分配和 PII 控制跟踪等离子体电流/形状，另设垂直速度 P 控制；控制器直接与非线性 DINA 自由边界模型闭环。,垂直稳定为毫秒至十毫秒；电流爬升与形状轨迹为秒至百秒级（ITER 场景）。,控制器—DINA 闭环仿真；尚无 ITER 实验。,展示了从爬升跟踪到准稳态无需改变总体控制结构的可行性，并把线圈电流回路、等离子体形状/电流回路和垂直稳定回路明确分层。,仿真结果依赖 DINA 场景、涡流和执行器模型；击穿与烧穿等原子过程被简化，尚未覆盖诊断故障、通信抖动和真实电源保护逻辑。,可作为 DINA/MEQ 切入数字孪生的首个模板：将场景轨迹、状态估计、线圈约束、闭环结果和版本化模型放入同一可回放服务。,Design and Modeling of ITER Plasma Magnetic Control System in Plasma Current Ramp-Up Phase on DINA Code,https://doi.org/10.1109/CDC.2009.5400897,DINA | ITER PCSSP, | https://github.com/iterorganization/PCSSP,not-public | official-enabling
CTL-CORE-004,DIII-D 电流爬升期安全因子剖面形成控制,Feedback control of safety-factor-profile evolution during advanced-scenario formation in DIII-D,2006,T1,T0 | T3,DIII-D：高 qmin 先进托卡马克场景形成；装置闭环实验,E4,D4,高 qmin 稳态场景需要在电流爬升早期形成弱反剪切/宽电流剖面；纯前馈对密度、温度和电流扩散误差敏感。,实时 MSE 约束的 rtEFIT 提供 q 剖面特征，以等离子体电流斜率和加热/电流驱动功率作反馈执行量，调节 qmin/剖面演化。,电流扩散与场景形成约 0.1–数秒；PCS 内部采样更快。,真实装置专项闭环，验证目标是场景形成而非全脉冲自治。,早期实验表明能以反馈改变安全因子演化并提高高 qmin 场景的重复性，为后续 q+能量多变量控制建立了诊断和 PCS 链路。,MSE 可用率、早期时段平衡不确定度和执行器饱和限制可控性；控制特征不等同于完整 q(r) 的任意整形。,提示孪生应将 ramp-up 视为可达性优化问题：目标剖面、执行器轨迹、状态置信度与最终场景成功率必须联结。,Feedback control of the safety factor profile evolution during formation of an advanced tokamak discharge,https://doi.org/10.1088/0029-5515/46/12/L01,DIII-D PCS/rtEFIT/TokSys,,not-public
CTL-CORE-013,TCV 首次实验性模型预测形状控制,First experimental demonstration of plasma shape control through MPC,2025,T2,,TCV：受约束形状跟踪；仿真与真实装置闭环,E4,D4,传统形状控制难显式处理线圈、电源和形状输出约束，也难在大目标转换中优化瞬态。,MEQ/fge 线性化等离子体响应与 TCV 核心磁控制状态空间模型耦合；上层 MPC 每周期求解二次规划，优化内层控制参考并施加输出约束。,内层约 10 kHz；MPC 作为较慢上层参考优化器，毫秒量级。,真实装置专项实验；截至论文为首次 tokamak MPC 形状实证。,在保留成熟内层磁控制的同时，用实时 QP 改善形状目标跟踪并显式满足输出约束，验证了分层 MPC 而非替换全部底层回路的路线。,线性模型与有限预测域限制大扰动外推；求解器最坏时延、不可行问题处置和电源内部约束仍需装置级验证。,非常适合作为 DINA/MEQ 控制服务的下一步：孪生给 MPC 提供预测模型、约束和不确定度，底层 PCS 保留确定性稳定功能。,First experimental demonstration of plasma shape control in a tokamak through Model Predictive Control,https://arxiv.org/abs/2506.20096,MEQ/fge | PCSSP, | https://github.com/iterorganization/PCSSP,not-public | official-enabling
CTL-CORE-012,TCV 深度强化学习统一磁控制,Magnetic control of tokamak plasmas through deep reinforcement learning,2022,T2,,TCV：常规、伸长、负三角度、雪花、双等离子体等；多组装置闭环实验,E4,D4,传统控制器常按形状和阶段分别设计，面对 19 路耦合线圈、构型转换和雪花/负三角度等目标时工程量大。,在自由边界模拟器中用非对称 actor–critic/MPO 训练策略，域随机化覆盖模型偏差；策略以 10 kHz 读取磁/线圈状态并直接输出 19 路电压命令，零样本迁移到 TCV。,10 kHz，即 100 μs 控制周期。,真实装置零样本 sim-to-real 闭环。,单一学习框架完成多种传统与先进形状、构型转换及双等离子体控制，策略编译后满足 10 kHz 实时约束。,未给出形式化稳定/约束保证；有效域由模拟器和随机化决定，策略权重、训练集与装置接口未开放，且实验保护仍由传统系统承担。,说明高保真但实时可承受的训练孪生可自动生成控制策略；工程上仍应采用安全投影、传统回退和适用域监测。,Magnetic control of tokamak plasmas through deep reinforcement learning,https://doi.org/10.1038/s41586-021-04301-9,"TCV RL simulator, training data and deployed policy | Acme", | https://github.com/google-deepmind/acme,not-public | official-enabling
CPT-012,EAST垂直增长率实时反馈,Real-time vertical-growth-rate feedback on EAST,2021,T2,,EAST,E4,D4,高性能形状接近垂直稳定边界，需要在线量化增长率并微调形状。,利用GPU加速模型/代理和实时平衡信息估计垂直增长率，在EAST PCS中调整边界/形状。,毫秒至数十毫秒,2019年EAST实验验证。,通过较小的形状和边界变化把增长率维持在目标附近，展示性能边界的主动管理。,对平衡重建、模型覆盖和GPU确定性延迟敏感；稳定裕度目标需与性能目标联合设定。,适合建立实时稳定裕度仪表、影子模式与闭环退让策略。,Design of real-time feedback control of vertical growth rate on EAST,https://doi.org/10.1007/s41365-021-00907-w,EAST vertical-growth feedback,,not-public
CTL-CORE-008,KSTAR 快—慢分频垂直稳定控制,Improved fast vertical control in KSTAR,2019,T2,,KSTAR：高伸长、高三角度平顶；装置实验,E4,D4,超导 PF 线圈不能快速抑制高伸长等离子体垂直不稳定，早期两磁探针估计噪声又限制反馈增益。,使用真空室内常导 IVC 线圈承担高频垂直控制，超导 PF 承担慢位置/形状；相对磁通和上下对称环电压差改善 Z 估计，高通滤波解耦快慢回路。,快垂直回路约毫秒；超导形状回路数十毫秒及以上。,真实装置闭环并用于接近垂直稳定极限的放电。,提高了 Z 估计信噪比和允许反馈增益，减少 IVC 与慢 PF 控制冲突，使接近垂直稳定极限的形状更可靠。,估计器仍依赖特定磁几何和标定；高频/低频硬切分在执行器饱和、供电故障和大 VDE 下需更强监督逻辑。,为孪生给出明确多速率架构：同一 Z 状态要有快、慢两个估计/控制通道以及带宽和权限边界。,Improved fast vertical control in KSTAR,https://doi.org/10.1016/j.fusengdes.2019.02.046,KSTAR PCS | TokSys, | ,not-public | not-public
CTL-CORE-007,EAST GPU P-EFIT 与 ISOFLUX 形状闭环,GPU-parallel equilibrium reconstruction and ISOFLUX control on EAST,2018,T2,,EAST：常规/先进形状与长脉冲；2014 专项 P-EFIT/ISOFLUX 闭环实验,E4,D4,33×33 简化 RT-EFIT 难兼顾速度和空间分辨率，长脉冲又要求可靠的实时边界/X 点输出。,以 CUDA 并行完整 EFIT 迭代，在 65×65 网格上重建平衡并通过实时共享内存馈入 ISOFLUX 控制。,重建约 0.7–1 ms；形状回路毫秒级。,实时 PCS 集成并完成装置闭环。,65×65 P-EFIT 满足控制时限；P-EFIT/ISOFLUX 在 EAST 专项实验中成功建立闭环，后续磁+POINT 版本在约 0.7 ms 提供电流/q 剖面。,GPU 时延并非唯一风险；长脉冲磁漂移、POINT 标定、单 GPU 故障和版本一致性需要系统级冗余。,展示了‘高分辨率状态服务—控制器’协同；孪生应记录每周期输入覆盖、求解残差、运行时和回退到低阶重建的触发条件。,Implementation of GPU parallel equilibrium reconstruction for plasma control in EAST | Development of real-time plasma current profile reconstruction with POINT diagnostic for EAST plasma control,https://doi.org/10.1016/j.fusengdes.2016.02.048 | https://doi.org/10.1016/j.fusengdes.2017.05.005,P-EFIT,,not-public
CTL-CORE-014,DIII-D 雪花偏滤器双零点实时控制,Initial development of the DIII-D snowflake divertor control,2018,T2,T5,DIII-D：snowflake / snowflake-plus/minus；装置闭环实验,E4,D4,雪花构型的两个相近一阶零点对等离子体电流和 PF 扰动高度敏感，普通边界控制不能稳定二阶零点几何。,实时在偏滤器局部展开 Grad–Shafranov 方程求两个零点位置，解析推导 PF 电流变化到零点位移的线性关系，并多线圈同步反馈。,磁几何控制为毫秒至十毫秒；热负荷响应为能量约束时间至秒。,真实装置先进偏滤器构型闭环。,同时控制两个零点，在多种 DIII-D 场景中维持雪花；代表性结果报告峰值热流约降低 2.5 倍并保持 2–3 s，未见明显核心性能损失。,局部线性化在零点拓扑变化和诊断噪声下敏感；磁几何成功不保证脱靶、杂质和材料温度长期安全。,应把‘拓扑指标’作为一等状态：零点阶数、距离、通量扩张和热流证据要与 PF 裕度同步展示。,Initial development of the DIII-D snowflake divertor control,https://doi.org/10.1088/1741-4326/aab0d3,DIII-D snowflake controller / PCS | TokSys, | ,not-public | not-public
