id,projectId,parentProjectId,domain,primaryDomain,relatedDomains,deploymentLevel,title,year,organization,problem,approach,devices,evidenceLevel,evidence,paper_titles,paper_urls,paper_source_types,code_names,code_urls,code_statuses,code_artifact_types,code_access,data,maturity,limitations,tags
eng-eudemo-magnet-made-ann,eng-eudemo-magnet-made-ann,,engineering,engineering,,,EU-DEMO 中心螺线管预设计的 MADE 数据与神经网络代理,2025,University of Padova；EU-DEMO 磁体设计研究团队,EU-DEMO 超导磁体预定尺寸需要反复扫描满足电磁—机械约束的庞大设计空间，传统 MADE 扫描难以支持快速正向、逆向和跨学科迭代。,以 MAgnet Design Explorer Algorithm（MADE）生成的可行设计点云训练人工神经网络，可从输入预测磁体布局/性能，也可反求达到目标输出的输入组合。,EU-DEMO 中心螺线管模块（论文直接应用） | EU-DEMO TF/PF 线圈（作者提出的扩展对象，尚非本文验证）,E1,论文在 EU-DEMO 中心螺线管预设计数据集上展示代理用于筛选最优可行配置；证据属于聚变概念设计数据验证，并非制造磁体或运行装置实测验证。,Machine Learning-Based Surrogate Modeling for Enhancing the Magnet Design of Future Tokamaks,https://doi.org/10.1109/TASC.2025.3550890,,MADE + ANN 对应实现,,not-public,,,MADE 生成的 EU-DEMO 可行设计点云；未发现公开数据集。,面向聚变磁体概念设计的论文级原型；已覆盖中心螺线管预设计，尚未形成经实物试验闭环验证的工程数字孪生。,训练分布由特定 MADE 模型和约束定义；对材料退化、制造公差、局部三维应力与失超工况的泛化未证明；没有公开代码和数据。,电磁 | 超导磁体 | 结构约束 | ANN | 逆设计 | EU-DEMO
eng-pinn-neutronics-heating-temperature,eng-pinn-neutronics-heating-temperature,,engineering,engineering,,,中子体积加热驱动真空室温度场的物理信息神经网络代理,2025,University of Manchester,聚变真空室与包层设计需要把中子学体积热源传递到热分析，但大规模设计空间下耦合求解成本高。,以物理信息神经网络直接求解/近似中子加热条件下真空室壁温度场，将热方程约束纳入训练损失。,参数化聚变真空室壁算例 | 面向未来聚变电厂包层/真空室，未声明运行托卡马克实测验证,E1,论文报告温度场 L2 相对误差 0.0093；验证为数值参考解对比，不能等同于中子辐照部件实验验证。,Simulating neutronics heating using physics-informed neural networks to resolve the temperature field,https://doi.org/10.1016/j.fusengdes.2025.115182,,论文 PINN 实现,,not-public,,,数值生成温度场；未发现公开数据集。,聚变几何上的 PINN 数值概念验证。,温度依赖材料、接触热阻、复杂冷却边界、辐照演化和高维几何泛化未充分证明；PINN 误差界和失效检测仍需工程化。,中子加热 | 温度场 | PINN | 真空室 | 多物理耦合
eng-remote-handling-fmu-surrogates,eng-remote-handling-fmu-surrogates,,engineering,engineering,,,核/聚变遥操作机器人的 ML 代理 FMU 组件库方法,2025,VTT Technical Research Centre of Finland,聚变远程维护机器人结构部件的 FEA 计算太慢且工具异构，难以嵌入系统级设计、预测控制与状态监测。,用 FEA 生成数据，训练多类机器学习代理，再封装为参数化 Functional Mock-up Units（FMU），在 Simulink 等平台进行跨工具组合。,核工业/聚变遥操作测试台的转动关节与执行器代表部件 | 面向未来聚变反应堆远程维护机器人；未在 ITER 在役维护任务验证,E1,论文比较 FMU 对关节/执行器模型的时序输出并验证系统级调用，属于核工业相邻测试台与仿真证据；尚无真实聚变堆辐照环境和任务数据。,Advancing remote handling capabilities in the nuclear industry with AI-based surrogate models for robotic technologies,https://doi.org/10.1016/j.fusengdes.2025.115286,,论文 FMU 与训练实现,,not-public,,,FEA 生成的部件数据与测试台数据未公开。,核工业遥操作部件的论文级 FMU 原型；对聚变远程维护属于近邻验证。,缺少辐射、真空、温漂、线缆柔性、接触/间隙和故障退化的聚变工况验证；不确定度量化仍被作者列为后续工作。,遥操作 | 机器人 | FMU | FMI | FEA | 代理模型
eng-liquid-metal-blanket-mhd-surrogates,eng-liquid-metal-blanket-mhd-surrogates,,engineering,engineering,,,液态金属聚变包层 MHD 流动的稀疏网格、PCE 与高斯过程代理,2025,"University of California, Los Angeles 等液态金属包层研究团队",强磁场下液态金属包层的 MHD 流动高保真计算昂贵，限制参数扫描、不确定性量化与设计优化。,以矩形导管解析 MHD 解生成训练样本，对比稀疏网格插值、稀疏多项式展开与高斯过程三类代理；扫描 Hartmann 数和壁面电导比。,液态金属增殖包层的典型矩形导管算例 | 未绑定特定在役托卡马克；面向未来 DCLL/WCLL 类包层迁移,E1,固定方形域中，200–600 个训练样本对解析参考解的相对误差低于 0.1%；验证对象仍是简化导管而非全尺寸包层或实验回路。,Surrogate modeling for MHD flows in liquid metal fusion blankets: Initial assessment with analytical solutions,https://doi.org/10.1016/j.fusengdes.2025.115057,,论文对应代理与训练脚本,,not-public,,,由解析 MHD 解生成的参数样本；未发现独立公开数据集。,聚变相关基准算例上的方法验证。,未覆盖真实包层三维几何、入口效应、湍流、温度依赖物性、自由表面、压降耦合和实验误差；不能直接替代包层资格鉴定。,MHD | 液态金属包层 | 高斯过程 | 多项式混沌 | 不确定性量化
eng-chimera-component-digital-twin,eng-chimera-component-digital-twin,,engineering,engineering,,,CHIMERA 聚变部件多物理虚拟试验与数字孪生,2023,UK Atomic Energy Authority,聚变包层/第一壁部件无法在单一设施中完整复现热、磁、流体和机械载荷，且高保真全系统模型无法实时运行。,从流体、热、电磁和结构 FEA 训练快速降阶/代理模型，在 Ansys Twin Builder 中耦合；规划以 CHIMERA 的热电偶、应变计、载荷与电流等仪表更新模型。,UKAEA CHIMERA Combined Heating and Magnetic Research Apparatus | CHIMERA commissioning sample under test（CSUT）/第一壁板条样件 | ITER TBM 尺度部件的半积分测试场景,E1,论文报告代理与高阶模型的性能核对和虚拟诊断；CHIMERA 当时仍在建设，真正的设备在线同步与寿命预测尚属后续目标。,Towards a fusion component digital twin – virtual test and monitoring of components in CHIMERA by systems simulation | CHIMERA Fusion Technology Facility: Testing and Virtual Qualification,https://doi.org/10.1016/j.fusengdes.2023.113773 | https://doi.org/10.1080/15361055.2022.2147766, | ,CHIMERA 代理与 Twin Builder 集成模型 | Ansys Twin Builder, | https://www.ansys.com/products/digital-twin/ansys-twin-builder,not-public | commercial-enabling, | commercial-software, | proprietary,CHIMERA 试验数据计划用于后续验证；论文数据声明为可申请，未公开完整传感器数据集。,聚变专用试验设施驱动的数字孪生路线与预调试模型；物理试验闭环尚在建设/验证阶段。,半积分设施不能复现中子体积热源、辐照损伤和等离子体—材料相互作用；闭源工程模型削弱外部复现；在线 UQ 与寿命模型尚未完成。,CHIMERA | 多物理 | ROM | 虚拟试验 | 传感器同化 | Twin Builder
eng-tbr-fast-regression,eng-tbr-fast-regression,,engineering,engineering,,,聚变堆氚增殖比 Monte Carlo 模型的快速回归代理,2023,University College London；UK Atomic Energy Authority,氚增殖比（TBR）对包层材料与几何高度敏感，而 Monte Carlo 中子学评估太慢，难以嵌入系统级优化和自适应采样。,比较 9 类回归代理与降维方法，并提出 Quality-Adaptive Surrogate Sampling；最快的人工神经网络近似 UKAEA 的 Monte Carlo TBR 模型。,UKAEA 聚变反应堆参数化包层/径向构建模型 | 面向 D-T 聚变电厂概念设计，未绑定运行装置,E1,最优 ANN 报告 R²=0.985、平均推理时间 0.898 微秒，相对原 Monte Carlo 模型约 8×10^6 加速；自适应采样只在玩具 TBR 理论上作初步测试。,Fast regression of the tritium breeding ratio in fusion reactors,https://doi.org/10.1088/2632-2153/acb2b3,,论文对应训练与 QASS 实现,,not-public,,,UKAEA Monte Carlo TBR 参数样本；未发现公开下载。,聚变堆中子学设计代理的论文级验证；适合快速筛选，不是安全分析替代物。,依赖特定参数化几何与材料空间；R² 不能揭示局部极值和边界外误差；尚无独立代码、数据和高保真跨概念外推验证。,中子学 | TBR | ANN | Monte Carlo | 自适应采样
CTL-07,CTL-07,,control,control,,,HL-3 高保真数据驱动动力学模型与强化学习磁控制,2025,核工业西南物理研究院/HL-3 合作团队,低层磁控制需要长时域、毫秒级且足够准确的交互环境，纯第一性原理模拟过慢，普通 LSTM 又在长滚动中漂移。,以 EFITNN 压缩平衡状态，用 scheduled sampling、自注意力和集合 LSTM 学习动力学，再以 PPO 输出 17 路线圈电压并接入 HL-3 PCS。,HL-3：历史放电训练与真实装置控制实验,E4,论文报告 400 ms 轨迹预测、1 kHz/17 线圈控制；相对标准 LSTM 多项 MAE 至少降低 58.8%，PPO 在 RTX 4090 上约 22 分钟完成 25 万次训练，并在 PCS/装置实验中验证包括未见三角度目标的控制。,High-fidelity data-driven dynamics model for reinforcement learning-based control in HL-3 tokamak,https://www.nature.com/articles/s42005-025-02302-y,,EFITNN、动力学集合、PPO 策略与 PCS 接口,,not-public,,,论文补充资料含部分源数据；完整 HL-3 历史放电与控制日志未公开。,真实装置闭环磁控制研究示范。,数据驱动模拟器偏差、长期 OOD 和故障输入仍可能放大；无跨装置映射、形式化安全证明和可公开复现实验环境。,HL-3 | 强化学习 | PPO | LSTM | EFITNN | 磁控制
CTL-08,CTL-08,,control,control,,,PACMAN：DIII-D 集成 AI 实时控制架构,2025,General Atomics、Princeton/PPPL、Columbia 等 DIII-D 团队,多个 AI 预测器、控制器和诊断预处理链各自为政，缺少可在同一 PCS 中组合、监视和快速实验的运行架构。,构建模块化 PACMAN 实时运行时，将状态估计、学习模型、控制逻辑、执行器接口和健康检查组合，支持多类 AI 控制实验。,DIII-D：非感应电流 RL、宽 pedestal/QH-mode ELM 预测、Alfvén 本征模控制、剖面 MPC、撕裂预测控制等,E4,预印本汇总多个已在 DIII-D 放电中运行的 AI 控制用例，证明框架具备实验集成能力；其长期可用性、故障隔离和独立复现仍未被公开基准覆盖。,Enabling Integrated AI Control on DIII-D: A Control System Design with State-of-the-art Experiments,https://arxiv.org/abs/2511.08818,,PACMAN runtime 与装置配置 | keras2c, | https://github.com/PlasmaControl/keras2c,not-public | official-enabling, | , | ,各用例使用 DIII-D 设施数据，未形成统一公开训练/回放包。,装置级集成实验平台；仍处于快速迭代研究阶段。,机器特定 PCS/硬件依赖强；缺少公开接口规范、端到端时序证明、网络安全/安全完整性等级和独立复现。,DIII-D | PACMAN | 集成控制 | 实时 AI | PCS | 多模型编排
CTL-06,CTL-06,,control,control,,,DIII-D 概率机器学习与贝叶斯优化安全 ramp-down,2024,General Atomics、Carnegie Mellon University 等,安全降电流轨迹存在高维且实验代价昂贵的设计空间，需要在有限放电数中学习更安全的操作。,用概率代理表达轨迹参数到风险/性能的映射，以贝叶斯优化和获取函数在放电之间选择下一次实验，实现有约束的主动实验设计。,DIII-D：2022 年 ramp-down 实验,E4,Nuclear Fusion 论文报告自动设计的实验能在比典型轨迹更低的电流与储能下保持控制，并在实验轮次中持续改进；它是 shot-to-shot 优化，不是毫秒级在线反馈。,Automated experimental design of safe rampdowns via probabilistic machine learning,https://doi.org/10.1088/1741-4326/ad22f5,,ramp-down 概率模型与贝叶斯优化实验代码,,not-public,,,实验数据属于 DIII-D 用户设施；论文图表/补充数据不足以重建全部优化循环。,真实装置的实验间主动优化示范。,目标函数和安全边界装置特定；不能处理单次放电内的快速扰动，且概率校准仅在已探索域有效。,DIII-D | ramp-down | 贝叶斯优化 | 主动实验 | 概率模型
CTL-02,CTL-02,,control,control,,,DIII-D 深度强化学习主动规避撕裂模,2024,Princeton、PPPL、General Atomics、Columbia、Seoul National University 等,高性能场景中的撕裂不稳定性一旦形成便难以补救，需要在保持约束和 H 模性能的同时提前规避。,将实时动力学状态重建、数据驱动的撕裂概率预测与深度强化学习策略串联，调节加热、转矩和形状/电流相关执行量，走在不稳定边界之前。,DIII-D：低 q、低转矩和 ITER baseline-like 场景,E4,装置实验中策略将撕裂风险维持在设定阈值以下，能跟踪时变稳定路径并保持 H 模；这是针对特定不稳定性和运行域的闭环证据，不是一般破裂免疫。,Avoiding fusion plasma tearing instability with deep reinforcement learning,https://www.nature.com/articles/s41586-024-07024-9,,撕裂预测器、RL 策略和 DIII-D 实时集成代码,,not-public,,,DIII-D 放电数据受用户设施访问规则约束；论文源数据不等于完整训练集。,真实装置闭环、针对性较强的研究示范。,适用范围受训练场景、诊断质量和撕裂标签定义约束；尚缺跨机迁移、可证明安全、策略退化与审计接口。,DIII-D | 强化学习 | 撕裂模 | 稳定性控制 | 风险预测
CTL-03,CTL-03,,control,control,,,DIII-D/KSTAR 机器学习辅助自适应 RMP 无 ELM 控制,2024,PPPL、General Atomics、Korea Institute of Fusion Energy 等,谐振磁扰动可抑制 ELM，但固定线圈设置常以约束性能为代价，需要随等离子体状态自适应优化。,以机器学习辅助探索/优化三维场配置，并在实验中实时调整 RMP，实现边界爆发抑制与高性能约束间的折中。,DIII-D | KSTAR,E4,Nature Communications 报告两台装置均实现无有害边界能量爆发且保持反应堆相关的高约束性能，并以多机结果支持方法的物理可迁移性；并不意味着控制器可直接跨机复用。,Highest fusion performance without harmful edge energy bursts in tokamak,https://www.nature.com/articles/s41467-024-48415-w,,自适应 RMP 控制与 ML 优化代码,,not-public,,,DIII-D/KSTAR 原始控制与诊断数据未作为统一公开数据集发布。,双装置实验验证；面向高性能边界控制的先进研究系统。,线圈几何、等离子体响应、诊断和安全限制需逐装置标定；对其他 ELM 类型、长脉冲和故障工况的覆盖有限。,DIII-D | KSTAR | RMP | ELM | 自适应控制 | 边界稳定性
CTL-05,CTL-05,,control,control,,,DIII-D 数据驱动剖面预测与有限动作集 MPC 实时基础设施,2023,Columbia University、General Atomics、PlasmaControl 等,离线训练的高维剖面动力学模型难以可靠地接入装置 PCS，并在硬实时约束下转化为可审计控制动作。,用约 3500 个 DIII-D 放电、约 15 万样本训练 200 ms 预测的神经网络，再以有限候选 NBI 功率动作进行 MPC，同时通过 Keras2C 部署到实时 PCS。,DIII-D：压力与电子温度剖面控制；实验 checkout 包括放电 187076,E4,论文记录模型进入 DIII-D PCS 并实施压力/温度双目标实时控制；实验也暴露 MSE/rtEFIT 等诊断中断会破坏控制输入，成为需要健康管理与回退的直接证据。,A general infrastructure for data-driven control design and implementation in tokamaks,https://doi.org/10.1017/S0022377822001040,,plasma-profile-predictor | keras2c,https://github.com/PlasmaControl/plasma-profile-predictor | https://github.com/PlasmaControl/keras2c,official-direct | official-enabling, | , | ,仓库提供处理流程与放电标识；原始 DIII-D 数据需设施授权。,已在真实 PCS 中试验的研究级实时控制基础设施。,候选动作有限，训练域依赖强；多目标冲突、输入诊断掉线、OOD 状态与回退控制仍是工程瓶颈。,DIII-D | MPC | 剖面控制 | PCS | Keras2C | NBI
