id,projectId,primaryTask,relatedTasks,techniqueFamilies,title,technique,devices,evidenceLevel,deploymentLevel,paperTitles,paperUrls,codeNames,codeUrls,limitations
DG2-006,fd-diag-plasma-006,DG2,DG9 | DG10,LASER,多点汤姆逊散射：核心与边缘电子剖面,family: LASER；name: 汤姆逊散射 / Thomson scattering,DIII-D | EAST | Globus-M2 | ITER,E3,D3,Thomson scattering diagnostics at the Globus-M2 tokamak | Design advances of the Core Plasma Thomson Scattering diagnostic for ITER,https://doi.org/10.1016/j.fusengdes.2024.114753 | https://doi.org/10.1088/1748-0221/12/11/c11010,装置专有分析/标定软件 [not-public],,采样受激光频率限制；低密度统计、杂散光和视线/激光偏移影响精度。
DG2-007,fd-diag-plasma-007,DG2,DG10,LASER,LIDAR汤姆逊散射：JET长光程电子剖面,family: LASER；name: LIDAR汤姆逊散射 / LIDAR TS,JET,E4,D4,The JET LIDAR Thomson scattering diagnostic,https://arxiv.org/abs/1312.3109,装置专有分析/标定软件 [not-public],,空间分辨受脉宽和探测响应限制；接收光学大，边缘细结构较弱。
DG2-008,fd-diag-plasma-008,DG2,DG1 | DG10 | DG11,LASER,多色干涉/偏振测量：ITER环向干涉偏振仪,family: LASER；name: 干涉偏振测量 / interferometry-polarimetry,ITER | DIII-D | EAST | KSTAR,E3,D3,Toroidal interferometer/polarimeter density measurement system on ITER | Implementing Faraday effect measurement constraints into the Grad–Shafranov equilibrium fitting code EFIT,https://doi.org/10.1063/1.1786640 | https://doi.org/10.1063/5.0129892,装置专有分析/标定软件 [not-public],,线积分不可唯一给剖面；相位跳变、折射、窗双折射和视线偏移是主要风险。
DG2-009,fd-diag-plasma-009,DG2,DG6 | DG11,MICROWAVE,电子回旋辐射：ECE温度剖面与事件监测,family: MICROWAVE；name: 电子回旋辐射测量 / ECE,ITER | DIII-D | EAST | KSTAR,E1,D2,Electron cyclotron emission diagnostic for ITER,https://doi.org/10.1063/1.3496978,装置专有分析/标定软件 [not-public],,光学薄、非热电子、截止、相对论展宽和磁映射误差使亮温偏离Te。
DG2-010,fd-diag-plasma-010,DG2,DG6 | DG9 | DG11,MICROWAVE,扫频/脉冲反射计：密度剖面和实时映射,family: MICROWAVE；name: 微波反射计 / reflectometry,SPARC | MAST Upgrade | WEST | EAST,E3,D3,"Edge scanning reflectometry for density profile measurement on the SPARC tokamak | Design of a low frequency, density profile reflectometer system for the MAST-U spherical tokamak | Implementation of real-time reflectometry for electronic density profile reconstruction on the WEST tokamak",https://doi.org/10.1063/5.0219533 | https://doi.org/10.1063/5.0219578 | https://doi.org/10.1088/1361-6587/ade62b,装置专有分析/标定软件 [not-public],,多路径、湍流散射、密度空腔和相位跳变使反演非唯一。
DG3-011,fd-diag-plasma-011,DG3,DG4 | DG10,OPTICAL,电荷交换复合谱：离子温度与转动,family: OPTICAL；name: 电荷交换复合光谱 / CXRS-CER,DIII-D | HL-2A | JET | KSTAR,E4,D4,Profile Measurement of Ion Temperature and Toroidal Rotation Velocity with Charge Exchange Recombination Spectroscopy Diagnostics in the HL-2A Tokamak | Charge exchange recombination spectroscopy measurements of DIII-D poloidal rotation with poloidal asymmetry in angular rotation,https://doi.org/10.1088/1009-0630/14/11/02 | https://doi.org/10.1063/5.0043087,OpenADAS [official-enabling] | 装置专有分析/标定软件 [not-public],https://open.adas.ac.uk | ,束衰减、有限寿命、谱重叠、视线积分和原子速率是主要系统误差。
DG3-012,fd-diag-plasma-012,DG3,DG4 | DG10,OPTICAL,成像X射线晶体谱：二维离子温度、流速与杂质,family: OPTICAL；name: 成像X射线晶体谱 / XICS,EAST | KSTAR | SPARC | W7-X,E4,D4,Imaging x-ray crystal spectrometer on EAST | Inversion techniques to obtain local rotation velocity and ion temperature profiles for the x-ray crystal spectrometer on EAST | Performance predictions of the SPARC x-ray crystal spectrometers for ion temperature and toroidal rotation measurements,https://doi.org/10.1088/0741-3335/52/8/085014 | https://doi.org/10.1088/2058-6272/acc503 | https://doi.org/10.1063/5.0219521,OpenADAS [official-enabling] | 装置专有分析/标定软件 [not-public],https://open.adas.ac.uk | ,依赖杂质电荷态和光子数；线混叠、晶体热漂移、视线积分限制二维反演。
DG3-013,fd-diag-plasma-013,DG3,DG5 | DG9,NUCLEAR_PARTICLE,中性粒子分析器：逃逸中性谱与离子分布,family: NUCLEAR_PARTICLE；name: 中性粒子分析 / NPA,ST40 | ITER | EAST | LHD,E3,D3,Neutral particle analyzer for plasma diagnostics on tokamak ST40 | Bench tests of a helium ion source for the neutral particle diagnostic system of the ITER tokamak,https://doi.org/10.1063/5.0269580 | https://doi.org/10.1063/5.0022149,FIDASIM [official-direct] | 装置专有分析/标定软件 [not-public],https://github.com/D3DEnergetic/FIDASIM | ,强依赖未知中性密度；视线积分、再电离、饱和及中子/伽马背景限制绝对反演。
DG3-014,fd-diag-plasma-014,DG3,DG5 | DG10,OPTICAL,主离子电荷交换谱：DIII-D氢同位素比例,family: OPTICAL；name: 主离子电荷交换谱 / MICER,DIII-D | JET relevance | ITER relevance,E3,D3,Radially resolved active charge exchange measurements of the hydrogenic isotope fraction on DIII-D | Progress in modelling fast-ion D-alpha spectra and neutral particle analyzer fluxes using FIDASIM,https://doi.org/10.1063/5.0043836 | https://doi.org/10.1088/1361-6587/aba8d7,FIDASIM [official-direct] | OpenADAS [official-enabling],https://github.com/D3DEnergetic/FIDASIM | https://open.adas.ac.uk,同位素线重叠、回收光和束组分不确定度导致模型依赖。
DG3-015,fd-diag-plasma-015,DG3,DG4 | DG5 | DG9,OPTICAL,ITER诊断中性束与氦灰CXRS,family: OPTICAL；name: 诊断中性束CXRS / DNB-CXRS,ITER | DIII-D/JET method heritage,E2,D2,Status of the R&D activities to the design of an ITER core CXRS diagnostic system | Conceptual design and integration of a diagnostic neutral beam in ITER | Testing neutral beam diagnostics,https://doi.org/10.1016/j.fusengdes.2015.05.039 | https://doi.org/10.1016/s0920-3796(01)00423-9 | https://www.iter.org/node/20687/testing-neutral-beam-diagnostics,FIDASIM [official-enabling] | 装置专有分析/标定软件 [not-public],https://github.com/D3DEnergetic/FIDASIM | ,氦线弱、被动背景强；束衰减、辐照退化和端口可达性是风险。
DG4-016,fd-diag-plasma-016,DG4,DG9 | DG10 | DG11,ENGINEERING_SENSOR,测辐射热计：总辐射功率与功率平衡,family: ENGINEERING_SENSOR；name: 测辐射热计 / bolometry,ITER | JET | ASDEX Upgrade | EAST,E2,D2,Performance estimations for the ITER bolometer diagnostic | Generic approach to assess the measuring performance of total-radiated power quantities by multi-channel resistive bolometer diagnostics on fusion experiments | Diagnostics: maintaining the power balance,https://doi.org/10.1016/j.fusengdes.2019.01.146 | https://doi.org/10.1063/5.0177114 | https://www.iter.org/node/20687/diagnostics-maintaining-power-balance,Cherab [official-enabling] | 装置专有分析/标定软件 [not-public],https://www.cherab.info | ,响应较慢；吸收膜老化、辐照漂移、漏电和有限视线限制局部尖峰恢复。
DG4-017,fd-diag-plasma-017,DG4,DG6 | DG10 | DG11,OPTICAL,软X射线阵列与快速层析,family: OPTICAL；name: 软X射线阵列 / SXR,DIII-D | ASDEX Upgrade | SPARC | EAST,E4,D4,Soft x-ray tomography diagnostic at the RTP tokamak | Deep learning for Gaussian process soft x-ray tomography model selection in the ASDEX Upgrade tokamak | SPARC x-ray diagnostics: Technical and functional overview,https://doi.org/10.1063/1.1144680 | https://doi.org/10.1063/5.0020680 | https://doi.org/10.1063/5.0219486,Cherab [official-enabling] | 装置专有分析/标定软件 [not-public],https://www.cherab.info | ,亮度卷积Te、ne和杂质；滤膜老化、视线积分和几何误差影响层析。
DG4-018,fd-diag-plasma-018,DG4,DG3 | DG10,OPTICAL,真空紫外杂质谱：电荷态与杂质输运,family: OPTICAL；name: 真空紫外光谱 / VUV,KSTAR | ITER | EAST | JET,E3,D3,Test of prototype ITER vacuum ultraviolet spectrometer and its application to impurity study in KSTAR plasmas | VUV spectroscopy in impurity injection experiments at KSTAR using prototype ITER VUV spectrometer,https://doi.org/10.1063/1.4886430 | https://doi.org/10.1063/1.4998970,OpenADAS [official-enabling] | 装置专有分析/标定软件 [not-public],https://open.adas.ac.uk | ,线混叠、原子数据、视线积分、污染和非平衡电离使密度反演不唯一。
DG4-019,fd-diag-plasma-019,DG4,DG3 | DG7 | DG10,OPTICAL,可见光杂质/燃料谱：Zeff、流入与回收,family: OPTICAL；name: 可见光谱 / visible spectroscopy,JET | EAST | DIII-D | ITER,E4,D4,A new visible spectroscopy diagnostic for the JET ITER-like wall main chamber | Spectroscopic Diagnostics for ITER,https://doi.org/10.1063/1.4733734 | https://doi.org/10.1585/jspf.79.1051,OpenADAS [official-enabling] | Cherab [official-enabling] | 装置专有分析/标定软件 [not-public],https://open.adas.ac.uk | https://www.cherab.info | ,视线积分、反射光、非平衡激发、污染和原子系数限制绝对粒子源。
DG4-020,fd-diag-plasma-020,DG5,DG4 | DG6 | DG11,NUCLEAR_PARTICLE,硬X射线：逃逸电子制动辐射监测,family: NUCLEAR_PARTICLE；name: 硬X射线监测 / HXR,J-TEXT | HL-2M | SPARC | ITER,E3,D3,Hard X-ray spatial array diagnostics on Joint Texas Experimental Tokamak | Investigation of Light Transmission Efficiency in ITER Hard X-Ray Monitor,https://doi.org/10.1063/1.4891709 | https://doi.org/10.1585/pfr.16.1302106,Geant4 [official-enabling] | 装置专有分析/标定软件 [not-public],https://geant4.web.cern.ch | ,计数堆积、方向响应和中子/伽马串扰显著；电子相空间反演非唯一。
DG5-021,fd-diag-plasma-021,DG5,DG0 | DG11,NUCLEAR_PARTICLE,微裂变室与中子通量监测：聚变功率基准,family: NUCLEAR_PARTICLE；name: 裂变室中子监测 / MFC-NFM,ITER | JET | DIII-D | EAST,E1,D2,Neutron Transport Analysis of the Processes Affecting the in situ Calibration of ITER In-Vessel Neutron Flux Monitors Equipped with a Micro-Fission Chamber System | Neutronic analysis and measurement performance assessment of ITER neutron flux monitor system,https://doi.org/10.1585/pfr.11.1402118 | https://doi.org/10.1016/j.fusengdes.2022.113364,MCNP [controlled-access] | 装置专有分析/标定软件 [not-public],https://mcnp.lanl.gov | ,响应依赖源分布/能谱/屏蔽；燃耗、辐照与高计数饱和需全寿命管理。
DG5-022,fd-diag-plasma-022,DG5,DG9 | DG10,NUCLEAR_PARTICLE,径向中子相机：聚变反应率剖面,family: NUCLEAR_PARTICLE；name: 中子相机 / neutron camera,ITER | JET | DIII-D,E3,D3,The ITER radial neutron camera in-port system: Nuclear analyses in support of its design development | Strategy and guidelines for the calibration of the ITER Radial Neutron Camera,https://doi.org/10.1016/j.fusengdes.2018.12.028 | https://doi.org/10.1016/j.fusengdes.2019.03.099,MCNP [controlled-access] | 装置专有分析/标定软件 [not-public],https://mcnp.lanl.gov | ,厚屏蔽、散射串扰和有限弦使层析分辨有限；响应对材料配置敏感。
DG5-023,fd-diag-plasma-023,DG5,DG3 | DG9,NUCLEAR_PARTICLE,高分辨中子能谱：燃料离子与快离子,family: NUCLEAR_PARTICLE；name: 中子能谱 / neutron spectroscopy,JET TOFOR/MPR | ITER HRNS,E4,D4,New method for time alignment and time calibration of the TOFOR time-of-flight neutron spectrometer at JET | Gain stabilization control system of the upgraded magnetic proton recoil neutron spectrometer at JET | Development and performance of the thin-foil proton recoil spectrometer for ITER plasma diagnostics,https://doi.org/10.1063/5.0041126 | https://doi.org/10.1063/1.3109682 | https://doi.org/10.1016/j.fusengdes.2025.115263,装置专有分析/标定软件 [not-public],,低计数统计、散射背景和响应反卷积限制时间分辨；快离子解释依赖反应模型。
DG5-024,fd-diag-plasma-024,DG5,DG0,NUCLEAR_PARTICLE,中子活化系统：积分聚变中子产额与绝对校核,family: NUCLEAR_PARTICLE；name: 中子活化 / neutron activation,ITER design | JET | EAST,E3,D3,ITER neutron activation system technical specification,https://fusionforenergy.europa.eu/downloads/procurements/itercalls/524/2.%20Technical_Spec_V9Z8DG_v1_3.pdf,MCNP [controlled-access] | 装置专有分析/标定软件 [not-public],https://mcnp.lanl.gov | ,不是实时诊断；转运时间、箔位置、核截面和屏蔽模型决定误差。
DG5-025,fd-diag-plasma-025,DG5,DG3 | DG9,NUCLEAR_PARTICLE,伽马射线能谱：快离子核反应与逃逸电子,family: NUCLEAR_PARTICLE；name: 伽马射线能谱 / gamma spectroscopy,JET | ITER relevance,E4,D4,Definition of the radiation fields for the JET gamma-ray spectrometer diagnostics,https://doi.org/10.1016/j.fusengdes.2013.01.083,Geant4 [official-enabling] | 装置专有分析/标定软件 [not-public],https://geant4.web.cern.ch | ,中子背景、峰重叠、低效率和核截面误差限制时间/空间分辨。
DG5-026,fd-diag-plasma-026,DG5,DG3 | DG9 | DG10,OPTICAL,FIDA与成像FIDA：快离子相空间,family: OPTICAL；name: 快离子D-alpha光谱 / FIDA-IFIDA,DIII-D | MAST | ASDEX Upgrade | LHD,E4,D4,A new fast-ion Dα diagnostic for DIII-D | The imaging fast ion D-alpha diagnostic (IFIDA) on DIII-D | Dual view FIDA measurements on MAST,https://doi.org/10.1063/1.2956828 | https://doi.org/10.1063/5.0041652 | https://doi.org/10.1088/0741-3335/55/9/095007,FIDASIM [official-direct],https://github.com/D3DEnergetic/FIDASIM,束发射/被动Dα/杂质重叠；中性密度、halo和相空间稀疏采样造成模型依赖。
DG5-027,fd-diag-plasma-027,DG5,DG6 | DG9,MICROWAVE,集体汤姆逊散射：快离子与离子回旋特征,family: MICROWAVE；name: 集体汤姆逊散射 / CTS,ASDEX Upgrade | ITER design | W7-X,E3,D3,Collective Thomson scattering capabilities to diagnose fusion plasmas | Fast Ion Collective Thomson Scattering Diagnostic for ITER: Design Elements | Robust monitoring of thermal and fast ions using collective Thomson scattering: Combining physics- and data-driven background estimation,https://doi.org/10.1016/j.nima.2010.05.003 | https://doi.org/10.13182/fst08-a1654 | https://doi.org/10.1063/5.0238948,装置专有分析/标定软件 [not-public],,强杂散探测功率和ECE背景；折射、散射几何与模型误差限制反演。
DG5-028,fd-diag-plasma-028,DG5,DG6 | DG7,NUCLEAR_PARTICLE,快离子损失探测器：轨道损失与MHD再分布,family: NUCLEAR_PARTICLE；name: 闪烁快离子损失探测 / FILD,ASDEX Upgrade | DIII-D | MAST | KSTAR,E4,D4,Self-adaptive diagnostic of radial fast-ion loss measurements on the ASDEX Upgrade tokamak (invited),https://doi.org/10.1063/5.0043756,装置专有分析/标定软件 [not-public],,只采样局部壁位置；探头受热/中子载荷，闪烁退化且绝对通量困难。
DG6-029,fd-diag-plasma-029,DG6,DG1 | DG11,MAGNETIC,Mirnov线圈阵列：MHD模态与锁模,family: MAGNETIC；name: Mirnov磁扰动阵列 / Mirnov arrays,J-TEXT | MAST | DIII-D | EAST | KSTAR,E4,D4,A high resolution Mirnov array for the Mega Ampere Spherical Tokamak | Upgrade of the Mirnov probe arrays on the J-TEXT tokamak,https://doi.org/10.1063/1.3272713 | https://doi.org/10.1063/1.4996360,装置专有分析/标定软件 [not-public],,壁屏蔽、涡流和有限阵列导致模态混叠；局部线圈不直接给内部径向位置。
DG6-030,fd-diag-plasma-030,DG6,DG2 | DG10,MICROWAVE,二维电子回旋辐射成像：磁岛与湍流,family: MICROWAVE；name: 电子回旋辐射成像 / ECEI,KSTAR | DIII-D | EAST,E4,D4,Development of a toroidally resolved broadband ECE imaging system for measurement of turbulent fluctuations on the KSTAR,https://doi.org/10.1063/5.0219245,装置专有分析/标定软件 [not-public],,局限于ECE光学厚可达区；折射、非热电子、通道串扰和视场映射误差。
DG6-031,fd-diag-plasma-031,DG6,DG2 | DG10,OPTICAL,束发射光谱：密度湍流与径向相关,family: OPTICAL；name: 束发射光谱 / BES,DIII-D | MAST | NSTX,E4,D4,Plasma Turbulence Imaging via Beam Emission Spectroscopy in the Core of the DIII-D Tokamak | Wide-field turbulence imaging with beam emission spectroscopy,https://doi.org/10.1585/pfr.2.s1025 | https://doi.org/10.1063/1.3495788,装置专有分析/标定软件 [not-public],,依赖中性束；beam-imprinting、光子噪声、有限PSF和MHD污染影响湍流量。
DG6-032,fd-diag-plasma-032,DG6,DG2 | DG9,MICROWAVE,多普勒反射与相关反射：湍流和E×B速度,family: MICROWAVE；name: 多普勒/相关反射计 / DBS,ASDEX Upgrade | EAST | DIII-D | W7-X,E4,D4,Multi-channel poloidal correlation reflectometry on experimental advanced superconducting tokamak | On turbulence-correlation analysis based on correlation reflectometry,https://doi.org/10.1063/1.4960162 | https://doi.org/10.1088/0031-8949/87/04/045502,装置专有分析/标定软件 [not-public],,相速度贡献、折射、多散射和散射位置不确定导致速度解释偏差。
DG6-034,fd-diag-plasma-034,DG6,DG2 | DG10,NUCLEAR_PARTICLE,重离子束探针：电势、密度与涨落,family: NUCLEAR_PARTICLE；name: 重离子束探针 / HIBP,QUEST | JIPP T-IIU | T-10 | TJ-II,E3,D3,Conceptual design of a heavy ion beam probe for the QUEST spherical tokamak | Density fluctuations in JIPP T-IIU tokamak plasmas measured by a heavy ion beam probe,https://doi.org/10.1063/5.0101770 | https://doi.org/10.1088/0029-5515/37/7/i08,装置专有分析/标定软件 [not-public],,系统大、束衰减强，轨道对磁场敏感；空间覆盖和端口可达性有限。
DG6-035,fd-diag-plasma-035,DG6,DG7 | DG10,OPTICAL,气体喷注成像：边缘丝状体与湍流,family: OPTICAL；name: 气体喷注成像 / GPI,TCV | Alcator C-Mod | NSTX | DIII-D,E4,D4,Gas puff imaging on the TCV tokamak | Invited Review Article: Gas puff imaging diagnostics of edge plasma turbulence in magnetic fusion devices,https://doi.org/10.1063/5.0126398 | https://doi.org/10.1063/1.4981873,OpenADAS [official-enabling] | 装置专有分析/标定软件 [not-public],https://open.adas.ac.uk | ,喷气扰动局部等离子体；亮度非线性依赖ne/Te和中性输运，不能直接视为密度。
DG7-036,fd-diag-plasma-036,DG7,DG3 | DG6 | DG11,PROBE_SAMPLING,固定/往复式朗缪尔探针：SOL与偏滤器局部参数,family: PROBE_SAMPLING；name: 朗缪尔探针 / Langmuir probes,EAST | DIII-D | ASDEX Upgrade | MAST-U,E4,D4,Development of Langmuir probe array for the new lower tungsten divertor in EAST,https://doi.org/10.1016/j.fusengdes.2022.113011,装置专有分析/标定软件 [not-public],,侵入、易烧蚀；鞘模型、二次电子、强磁倾角和非Maxwell分布造成偏差。
DG7-037,fd-diag-plasma-037,DG7,DG0 | DG8 | DG11,ENGINEERING_SENSOR,红外热成像：PFC表面温度与热流,family: ENGINEERING_SENSOR；name: 红外热成像 / IR thermography,ITER | ASDEX Upgrade | JET | WEST | EAST,E2,D2,Development of Divertor IR Thermography for ITER | Prediction and evaluation of measurement performances of imaging diagnostics for ITER wall protection,https://doi.org/10.1585/pfr.8.2402147 | https://doi.org/10.1016/j.fusengdes.2025.114922,装置专有分析/标定软件 [not-public],,发射率随表面/沉积改变，反射等离子体辐射；热反演病态且材料参数不确定。
